Episode,Steps Taken
1,514
2,61
3,109
4,128
5,33
6,433
7,93
8,67
9,68
10,182
11,144
12,36
13,172
14,65
15,88
16,57
17,90
18,93
19,150
20,80
21,27
22,31
23,80
24,52
25,55
26,62
27,48
28,50
29,27
30,36
31,54
32,82
33,46
34,33
35,36
36,25
37,35
38,42
39,46
40,35
41,31
42,21
43,40
44,43
45,22
46,28
47,26
48,24
49,36
50,47
51,33
52,25
53,37
54,32
55,18
56,26
57,25
58,20
59,35
60,18
61,25
62,29
63,47
64,27
65,30
66,19
67,23
68,20
69,20
70,22
71,18
72,22
73,20
74,20
75,18
76,22
77,24
78,18
79,20
80,18
81,22
82,20
83,21
84,20
85,22
86,22
87,21
88,20
89,18
90,22
91,22
92,20
93,24
94,20
95,20
96,22
97,22
98,21
99,20
100,18
101,18
102,22
103,20
104,20
105,18
106,20
107,18
108,24
109,22
110,20
111,28
112,18
113,18
114,20
115,20
116,18
117,18
118,20
119,18
120,18
121,22
122,20
123,22
124,18
125,18
126,18
127,20
128,18
129,21
130,18
131,24
132,20
133,18
134,24
135,18
136,18
137,18
138,20
139,20
140,24
141,18
142,20
143,18
144,20
145,22
146,18
147,20
148,18
149,18
150,19
151,18
152,18
153,19
154,18
155,20
156,28
157,22
158,18
159,24
160,20
161,21
162,18
163,18
164,18
165,22
166,18
167,20
168,21
169,20
170,18
171,20
172,19
173,18
174,20
175,20
176,30
177,18
178,18
179,18
180,18
181,20
182,26
183,22
184,18
185,24
186,20
187,21
188,19
189,18
190,20
191,20
192,18
193,18
194,20
195,18
196,22
197,18
198,21
199,18
200,18
201,20
202,18
203,18
204,18
205,18
206,20
207,20
208,20
209,18
210,19
211,20
212,20
213,22
214,20
215,20
216,18
217,22
218,18
219,18
220,20
221,18
222,18
223,18
224,18
225,20
226,20
227,22
228,18
229,20
230,22
231,20
232,20
233,21
234,19
235,24
236,20
237,18
238,18
239,22
240,18
241,24
242,18
243,18
244,18
245,21
246,18
247,20
248,18
249,22
250,18
251,20
252,20
253,18
254,22
255,22
256,26
257,20
258,21
259,20
260,18
261,18
262,21
263,20
264,25
265,20
266,18
267,20
268,20
269,28
270,22
271,18
272,20
273,18
274,18
275,18
276,18
277,20
278,18
279,18
280,20
281,20
282,18
283,20
284,22
285,20
286,20
287,18
288,20
289,18
290,20
291,22
292,18
293,18
294,18
295,20
296,20
297,20
298,18
299,18
300,27
301,18
302,22
303,18
304,18
305,18
306,22
307,18
308,20
309,22
310,26
311,22
312,18
313,21
314,18
315,20
316,20
317,18
318,20
319,18
320,22
321,23
322,18
323,20
324,22
325,18
326,20
327,18
328,20
329,20
330,22
331,18
332,19
333,18
334,18
335,21
336,20
337,18
338,20
339,22
340,18
341,21
342,23
343,20
344,18
345,18
346,18
347,20
348,18
349,20
350,20
351,24
352,22
353,20
354,20
355,18
356,22
357,22
358,18
359,18
360,18
361,18
362,18
363,20
364,26
365,20
366,18
367,20
368,20
369,22
370,18
371,18
372,22
373,19
374,18
375,18
376,18
377,22
378,18
379,20
380,20
381,21
382,18
383,20
384,22
385,18
386,20
387,20
388,18
389,18
390,18
391,22
392,19
393,19
394,22
395,20
396,18
397,18
398,18
399,18
400,20
401,20
402,20
403,18
404,18
405,19
406,18
407,20
408,20
409,18
410,18
411,24
412,21
413,21
414,18
415,18
416,20
417,18
418,22
419,20
420,18
421,20
422,22
423,18
424,24
425,20
426,18
427,20
428,18
429,18
430,18
431,20
432,18
433,18
434,24
435,20
436,20
437,18
438,18
439,20
440,22
441,18
442,20
443,18
444,20
445,18
446,20
447,19
448,18
449,21
450,20
451,18
452,20
453,20
454,22
455,20
456,18
457,20
458,20
459,18
460,20
461,18
462,22
463,24
464,18
465,18
466,18
467,23
468,20
469,22
470,18
471,24
472,19
473,20
474,18
475,20
476,18
477,24
478,22
479,19
480,20
481,20
482,22
483,21
484,18
485,20
486,20
487,20
488,22
489,18
490,20
491,18
492,18
493,22
494,22
495,26
496,23
497,19
498,22
499,20
500,18
501,21
502,21
503,19
504,18
505,20
506,22
507,18
508,18
509,20
510,21
511,24
512,22
513,24
514,18
515,22
516,22
517,18
518,20
519,18
520,20
521,22
522,18
523,20
524,22
525,18
526,18
527,22
528,18
529,20
530,20
531,20
532,23
533,26
534,20
535,20
536,20
537,24
538,23
539,18
540,18
541,18
542,20
543,20
544,24
545,20
546,20
547,22
548,22
549,18
550,20
551,18
552,18
553,18
554,18
555,24
556,22
557,18
558,20
559,18
560,26
561,18
562,18
563,20
564,22
565,20
566,22
567,20
568,18
569,20
570,18
571,18
572,18
573,20
574,18
575,19
576,22
577,18
578,20
579,18
580,20
581,18
582,20
583,20
584,19
585,22
586,20
587,26
588,22
589,18
590,18
591,20
592,18
593,18
594,18
595,18
596,23
597,22
598,24
599,19
600,20
601,21
602,18
603,18
604,18
605,18
606,18
607,20
608,20
609,18
610,24
611,18
612,20
613,18
614,18
615,20
616,18
617,21
618,21
619,18
620,20
621,18
622,19
623,22
624,18
625,20
626,20
627,20
628,20
629,20
630,21
631,19
632,20
633,20
634,22
635,22
636,20
637,18
638,18
639,24
640,18
641,18
642,22
643,22
644,26
645,18
646,19
647,20
648,18
649,18
650,19
651,20
652,21
653,18
654,20
655,24
656,18
657,18
658,18
659,24
660,22
661,20
662,18
663,18
664,23
665,18
666,20
667,20
668,18
669,21
670,18
671,22
672,20
673,18
674,19
675,18
676,18
677,18
678,22
679,22
680,20
681,18
682,18
683,24
684,22
685,18
686,18
687,18
688,24
689,18
690,20
691,20
692,20
693,20
694,18
695,19
696,22
697,22
698,18
699,18
700,20
701,18
702,21
703,18
704,21
705,18
706,22
707,19
708,20
709,18
710,18
711,18
712,20
713,18
714,24
715,18
716,19
717,18
718,18
719,18
720,20
721,23
722,22
723,20
724,20
725,18
726,18
727,18
728,20
729,24
730,20
731,24
732,18
733,18
734,24
735,20
736,24
737,20
738,20
739,21
740,20
741,18
742,18
743,20
744,18
745,20
746,18
747,18
748,18
749,21
750,22
751,18
752,22
753,18
754,24
755,21
756,18
757,22
758,18
759,22
760,23
761,18
762,18
763,20
764,19
765,18
766,18
767,18
768,26
769,22
770,20
771,18
772,20
773,18
774,20
775,20
776,24
777,20
778,18
779,18
780,18
781,22
782,26
783,19
784,27
785,18
786,20
787,19
788,20
789,18
790,18
791,20
792,23
793,20
794,18
795,20
796,20
797,18
798,18
799,18
800,20
801,20
802,21
803,19
804,25
805,18
806,18
807,20
808,18
809,18
810,22
811,18
812,18
813,19
814,19
815,20
816,20
817,18
818,20
819,25
820,20
821,22
822,18
823,18
824,18
825,20
826,18
827,22
828,22
829,24
830,18
831,18
832,20
833,20
834,18
835,20
836,18
837,20
838,22
839,18
840,24
841,18
842,18
843,22
844,22
845,18
846,18
847,22
848,19
849,20
850,20
851,20
852,18
853,20
854,20
855,20
856,20
857,20
858,18
859,18
860,20
861,20
862,20
863,22
864,20
865,20
866,18
867,22
868,18
869,22
870,23
871,18
872,22
873,18
874,20
875,18
876,18
877,20
878,20
879,18
880,18
881,20
882,18
883,18
884,20
885,18
886,20
887,22
888,22
889,18
890,20
891,18
892,18
893,20
894,19
895,20
896,22
897,20
898,18
899,18
900,18
901,20
902,20
903,18
904,22
905,28
906,22
907,18
908,18
909,18
910,32
911,20
912,21
913,22
914,18
915,18
916,18
917,18
918,18
919,22
920,19
921,19
922,20
923,22
924,18
925,24
926,27
927,20
928,28
929,20
930,21
931,18
932,18
933,20
934,20
935,20
936,20
937,21
938,18
939,24
