Episode,Steps Taken
1,707
2,328
3,193
4,120
5,97
6,229
7,138
8,132
9,106
10,337
11,33
12,300
13,152
14,123
15,247
16,61
17,153
18,120
19,50
20,91
21,55
22,48
23,164
24,88
25,90
26,84
27,49
28,146
29,114
30,66
31,68
32,73
33,46
34,99
35,115
36,20
37,121
38,56
39,84
40,50
41,59
42,91
43,33
44,52
45,35
46,78
47,56
48,93
49,43
50,53
51,73
52,55
53,30
54,30
55,113
56,106
57,48
58,26
59,40
60,54
61,29
62,81
63,71
64,30
65,60
66,23
67,78
68,27
69,26
70,72
71,39
72,36
73,50
74,29
75,33
76,39
77,50
78,80
79,29
80,26
81,23
82,24
83,35
84,25
85,35
86,34
87,74
88,59
89,49
90,63
91,24
92,27
93,49
94,19
95,28
96,36
97,32
98,46
99,32
100,26
101,20
102,34
103,52
104,55
105,32
106,23
107,27
108,39
109,27
110,37
111,30
112,24
113,22
114,36
115,37
116,25
117,32
118,24
119,28
120,26
121,27
122,54
123,33
124,36
125,23
126,36
127,47
128,27
129,18
130,18
131,21
132,21
133,33
134,42
135,26
136,28
137,20
138,24
139,31
140,25
141,25
142,21
143,24
144,38
145,32
146,20
147,34
148,18
149,22
150,23
151,40
152,22
153,22
154,30
155,22
156,18
157,24
158,18
159,20
160,25
161,29
162,19
163,23
164,21
165,20
166,26
167,28
168,22
169,22
170,22
171,23
172,19
173,18
174,21
175,25
176,45
177,30
178,18
179,22
180,21
181,18
182,21
183,20
184,21
185,22
186,24
187,20
188,22
189,23
190,20
191,22
192,20
193,20
194,18
195,20
196,25
197,20
198,22
199,26
200,18
201,23
202,22
203,23
204,18
205,20
206,19
207,20
208,21
209,20
210,21
211,18
212,26
213,20
214,26
215,20
216,23
217,22
218,20
219,22
220,20
221,22
222,18
223,18
224,22
225,20
226,27
227,18
228,18
229,21
230,18
231,19
232,21
233,22
234,20
235,20
236,20
237,22
238,20
239,20
240,20
241,18
242,22
243,20
244,20
245,18
246,20
247,20
248,26
249,18
250,18
251,18
252,19
253,18
254,22
255,22
256,22
257,24
258,22
259,18
260,24
261,22
262,22
263,18
264,20
265,20
266,18
267,18
268,20
269,20
270,27
271,20
