Episode,Q-table
1,"[[[-1.43012745 -1.43184727 -1.42931054 -2.67526052]
  [-1.43546794 -1.42857141 -1.42857137 -1.4285713 ]
  [-1.4285714  -1.42336548  0.          0.        ]
  [-1.42609861 -1.41761155 -1.37999577 -1.32630689]
  [-1.40549799 -1.41670434 -1.40358808 -1.37597491]]

 [[-1.45913768 -1.42910649 -1.49292143 -2.5508327 ]
  [-1.42969787 -1.42857143 -1.42857142 -1.42857116]
  [-1.42857143 -1.42844555  0.         -1.4752339 ]
  [-1.42851163 -2.64158408 -1.42739684  0.        ]
  [-1.4280135  -1.42589392 -1.42293456 -1.3813427 ]]

 [[-1.43356398 -2.66112268 -1.47515595  0.        ]
  [-1.45069908 -1.42857143 -1.42857143 -2.64703267]
  [-1.42857143 -1.43357233 -1.4507361  -1.5268082 ]
  [-1.43909965 -1.42856502 -1.42854303  0.        ]
  [-1.42855794 -1.19545666 -0.9378035   1.03125   ]]

 [[-1.42856888 -1.42856607  0.          0.        ]
  [-1.42857022 -2.64397589 -1.53234055 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -1.42854769]
  [-2.66801724 -1.387967   -1.42856838  0.        ]
  [-1.34308841  0.          0.          3.75      ]]

 [[-1.4283499  -1.42810505  0.          0.        ]
  [-1.4284662  -1.42758959 -2.7710197  -2.77553853]
  [-1.42852145 -1.42650439  0.          0.        ]
  [ 0.          0.         -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
2,"[[[-2.83703419 -2.83738977 -2.83687141 -2.67526052]
  [-1.43546794 -2.65134339 -2.74867377 -2.83225168]
  [-1.4285714  -2.73253022 -2.80768907 -2.83645737]
  [-1.42609861 -1.41761155 -1.37999577 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.37597491]]

 [[-1.45913768 -1.42910649 -1.49292143 -2.5508327 ]
  [-1.42969787 -1.42857143 -2.79490577 -2.82729681]
  [-1.42857143 -1.42844555 -2.92190533 -1.4752339 ]
  [-1.42851163 -2.64158408 -1.42739684 -1.42679311]
  [-1.4280135  -1.42589392 -1.42293456 -1.3813427 ]]

 [[-1.43356398 -2.66112268 -1.47515595  0.        ]
  [-1.45069908 -1.42857143 -2.81686596 -2.64703267]
  [-1.42857143 -1.43357233 -1.4507361  -1.5268082 ]
  [-1.43909965 -1.42856502 -1.42854303 -1.42482761]
  [-1.42855794 -1.19545666 -0.9378035   1.03125   ]]

 [[-1.42856888 -1.42856607  0.          0.        ]
  [-1.42857022 -2.64397589 -1.53234055 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -2.35501197]
  [-2.66801724 -1.387967   -1.42856838 -1.42068971]
  [-1.34308841  0.          0.          3.75      ]]

 [[-1.4283499  -1.42810505  0.          0.        ]
  [-1.4284662  -1.42758959 -2.7710197  -2.77553853]
  [-1.42852145 -0.18127873 -1.39363858 -0.9755169 ]
  [-1.41197833  3.75       -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
3,"[[[-4.16798403 -5.24460626 -5.36219687 -4.92702532]
  [-4.4015843  -3.95132296 -5.39147935 -4.23298278]
  [-2.99511805 -2.73253022 -2.80768907 -2.83645737]
  [-1.42609861 -1.41761155 -1.37999577 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.37597491]]

 [[-2.94715285 -4.18214335 -3.0696766  -3.6028501 ]
  [-2.87997752 -3.89266825 -4.22078951 -4.11947008]
  [-2.85690049 -2.52268465 -2.92190533 -1.4752339 ]
  [-1.42851163 -2.64158408 -1.42739684 -2.17455716]
  [-1.4280135  -1.42589392 -1.42293456 -1.3813427 ]]

 [[-2.91873761 -3.99765245 -3.04552513 -2.70156979]
  [-2.89283456 -2.84589744 -4.04696022 -3.88717084]
  [-2.85602469 -1.43357233 -1.4507361  -1.5268082 ]
  [-1.43909965 -1.42856502 -1.42854303 -1.4432383 ]
  [-1.42855794 -1.19545666 -0.9378035   1.03125   ]]

 [[-2.90208109 -2.83140376 -3.0012183  -2.69159311]
  [-2.86777405 -2.64397589 -2.92929075 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -2.35501197]
  [-2.66801724  0.11866555 -1.42856838 -1.42068971]
  [-1.34308841  0.          0.          6.9375    ]]

 [[-1.4283499  -1.42810505 -2.86457801 -2.83791257]
  [-1.4284662  -1.42758959 -2.7710197  -2.77553853]
  [-1.42852145 -0.18127873 -1.39363858 -0.9755169 ]
  [-1.41197833  3.75       -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
4,"[[[-6.72497482 -6.28334227 -5.36219687 -6.04896653]
  [-4.4015843  -5.02998281 -5.39147935 -4.23298278]
  [-2.99511805 -3.85247283 -2.80768907 -2.83645737]
  [-1.42609861 -2.44515273 -2.60772787 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.99514646]]

 [[-4.40194385 -4.18214335 -4.5999811  -3.6028501 ]
  [-2.87997752 -3.89266825 -4.22078951 -4.11947008]
  [-2.85690049 -2.52268465 -2.92190533 -1.4752339 ]
  [-1.42851163 -2.64158408 -1.42739684 -2.17455716]
  [-1.4280135  -1.42589392 -1.42293456 -1.12602997]]

 [[-2.91873761 -3.99765245 -3.04552513 -2.70156979]
  [-2.89283456 -2.84589744 -4.04696022 -3.88717084]
  [-2.85602469 -1.43357233 -1.4507361  -1.5268082 ]
  [-1.43909965 -1.42856502 -1.42854303 -1.4432383 ]
  [-1.42855794 -1.19545666 -0.9378035   2.40210937]]

 [[-2.90208109 -2.83140376 -3.0012183  -2.69159311]
  [-2.86777405 -2.64397589 -2.92929075 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -2.35501197]
  [-2.66801724  0.11866555 -1.42856838 -1.42068971]
  [-1.34308841  0.          0.          9.646875  ]]

 [[-1.4283499  -1.42810505 -2.86457801 -2.83791257]
  [-1.4284662  -1.42758959 -2.7710197  -2.77553853]
  [-1.42852145 -0.18127873 -1.39363858 -0.9755169 ]
  [-1.41197833  3.75       -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
5,"[[[-6.72497482 -6.28334227 -6.49838963 -6.94667019]
  [-4.4015843  -5.02998281 -5.39147935 -4.23298278]
  [-2.99511805 -3.85247283 -2.80768907 -2.83645737]
  [-1.42609861 -2.44515273 -2.60772787 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.99514646]]

 [[-4.40194385 -4.18214335 -4.5999811  -4.74315009]
  [-2.87997752 -3.89266825 -4.22078951 -4.11947008]
  [-2.85690049 -2.52268465 -2.92190533 -1.4752339 ]
  [-1.42851163 -2.64158408 -1.42739684 -2.17455716]
  [-1.4280135  -1.42589392 -1.42293456 -1.12602997]]

 [[-2.91873761 -3.99765245 -3.04552513 -3.85052518]
  [-2.89283456 -2.84589744 -4.04696022 -3.88717084]
  [-2.85602469 -1.43357233 -1.4507361  -1.5268082 ]
  [-1.43909965 -1.42856502 -1.42854303 -1.4432383 ]
  [-1.42855794 -1.19545666 -0.9378035   2.40210937]]

 [[-2.90208109 -2.83140376 -3.0012183  -3.57714858]
  [-2.86777405 -2.64397589 -2.92929075 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -2.35501197]
  [-2.66801724  0.11866555 -1.42856838 -1.42068971]
  [-1.34308841  0.          0.          9.646875  ]]

 [[-1.4283499  -2.13503024 -2.86457801 -2.83791257]
  [-1.4284662  -1.35960945 -2.7710197  -2.77553853]
  [-1.42852145  1.14435058 -1.39363858 -0.9755169 ]
  [-1.41197833  6.9375     -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
6,"[[[-8.97160109 -8.38868145 -8.95871682 -8.74901607]
  [-6.14486684 -6.22842227 -6.5808376  -6.46527217]
  [-4.62908132 -3.85247283 -4.24154111 -4.32047782]
  [-3.04335923 -2.44515273 -2.60772787 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.99514646]]

 [[-5.86873921 -6.45488549 -7.56871125 -5.93047012]
  [-5.76885472 -5.73289953 -5.62370238 -5.32722094]
  [-4.44085993 -3.81365746 -2.92190533 -3.66974092]
  [-1.42851163 -2.64158408 -2.93470516 -2.17455716]
  [-1.4280135  -1.42589392 -1.42293456 -1.12602997]]

 [[-4.46162694 -3.99765245 -4.76085116 -3.85052518]
  [-2.89283456 -2.84589744 -5.45776231 -3.88717084]
  [-2.85602469 -1.95751538 -2.91101095 -1.5268082 ]
  [-1.43909965 -0.9767998  -1.42854303 -1.4432383 ]
  [-1.42855794 -1.19545666 -0.9378035   3.76038281]]

 [[-2.90208109 -2.83140376 -3.0012183  -3.57714858]
  [-2.86777405 -2.64397589 -2.92929075 -2.67989929]
  [-1.47786176 -2.62646172 -1.43094686 -2.35501197]
  [-2.66801724  0.11866555 -1.42856838 -1.42068971]
  [-1.34308841  0.          0.         11.94984375]]

 [[-1.4283499  -2.13503024 -2.86457801 -2.83791257]
  [-1.4284662  -1.35960945 -2.7710197  -2.77553853]
  [-1.42852145  1.14435058 -1.39363858 -0.9755169 ]
  [-1.41197833  6.9375     -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
7,"[[[-8.97160109 -9.45290944 -8.95871682 -9.57454256]
  [-7.61199669 -6.22842227 -6.5808376  -6.46527217]
  [-4.62908132 -3.85247283 -4.24154111 -4.32047782]
  [-3.04335923 -2.44515273 -2.60772787 -2.55508759]
  [-1.40549799 -1.41670434 -1.40358808 -1.99514646]]

 [[-7.02996778 -6.45488549 -7.56871125 -6.88887878]
  [-5.76885472 -5.73289953 -5.62370238 -5.32722094]
  [-4.44085993 -3.81365746 -2.92190533 -3.66974092]
  [-1.42851163 -2.64158408 -2.93470516 -2.17455716]
  [-1.4280135  -1.42589392 -1.42293456 -1.12602997]]

 [[-4.46162694 -3.99765245 -4.76085116 -5.00690274]
  [-2.89283456 -2.84589744 -5.45776231 -3.88717084]
  [-2.85602469 -1.95751538 -2.91101095 -2.32372016]
  [-1.43909965 -0.9767998  -1.42854303 -1.4432383 ]
  [-1.42855794 -1.19545666 -0.9378035   3.76038281]]

 [[-2.90208109 -4.05346966 -3.0012183  -3.57714858]
  [-2.86777405 -3.73873356 -2.92929075 -2.67989929]
  [-1.47786176 -2.62646172 -2.56240818 -2.49256542]
  [-2.66801724  0.11866555 -1.42856838 -1.42068971]
  [-1.34308841  0.          0.         11.94984375]]

 [[-1.4283499  -2.13503024 -2.86457801 -2.83791257]
  [-1.4284662  -1.35960945 -2.7710197  -2.77553853]
  [-1.42852145  2.71662027 -1.39363858 -0.9755169 ]
  [-1.1268692   9.646875   -1.42421978  0.        ]
  [ 0.          0.          0.          0.        ]]]"
8,"[[[ -9.95853816 -10.09338119 -10.11032156  -9.57454256]
  [ -7.61199669  -7.1144391   -6.5808376   -6.46527217]
  [ -4.62908132  -4.9499524   -4.24154111  -4.32047782]
  [ -3.04335923  -3.65971321  -2.60772787  -3.26675643]
  [ -2.64681598  -1.41670434  -2.73268721  -1.99514646]]

 [[ -7.02996778  -6.45488549  -7.56871125  -6.88887878]
  [ -5.76885472  -5.73289953  -5.62370238  -5.32722094]
  [ -4.44085993  -3.81365746  -2.92190533  -3.66974092]
  [ -1.42851163  -2.64158408  -2.93470516  -2.47217626]
  [ -1.4280135   -1.42589392  -1.42293456  -1.12602997]]

 [[ -4.46162694  -3.99765245  -4.76085116  -5.00690274]
  [ -2.89283456  -2.84589744  -5.45776231  -3.88717084]
  [ -2.85602469  -1.95751538  -2.91101095  -2.32372016]
  [ -1.43909965  -0.41808128  -1.42854303  -1.4432383 ]
  [ -1.42855794  -1.19545666  -0.9378035    5.07900176]]

 [[ -2.90208109  -4.05346966  -3.0012183   -3.57714858]
  [ -2.86777405  -3.73873356  -2.92929075  -2.67989929]
  [ -1.47786176  -2.62646172  -2.56240818  -2.49256542]
  [ -2.66801724   0.11866555  -1.42856838  -1.42068971]
  [ -1.34308841   0.           0.          13.90736719]]

 [[ -1.4283499   -2.13503024  -2.86457801  -2.83791257]
  [ -1.4284662   -1.35960945  -2.7710197   -2.77553853]
  [ -1.42852145   2.71662027  -1.39363858  -0.9755169 ]
  [ -1.1268692    9.646875    -1.42421978   0.        ]
  [  0.           0.           0.           0.        ]]]"
9,"[[[ -9.95853816 -10.09338119 -11.01519656 -10.22096556]
  [ -7.61199669  -7.1144391   -6.5808376   -6.46527217]
  [ -4.62908132  -4.9499524   -4.24154111  -4.32047782]
  [ -3.04335923  -3.65971321  -2.60772787  -3.26675643]
  [ -2.64681598  -1.41670434  -2.73268721  -1.99514646]]

 [[ -7.02996778  -7.32390274  -7.56871125  -6.88887878]
  [ -5.76885472  -5.73289953  -5.62370238  -6.0180022 ]
  [ -4.44085993  -3.81365746  -2.92190533  -3.66974092]
  [ -1.42851163  -2.64158408  -2.93470516  -2.47217626]
  [ -1.4280135   -1.42589392  -1.42293456  -1.12602997]]

 [[ -4.46162694  -3.99765245  -4.76085116  -5.00690274]
  [ -2.89283456  -3.54973746  -5.45776231  -3.88717084]
  [ -2.85602469  -2.17178633  -2.91101095  -2.32372016]
  [ -1.43909965   0.217031    -1.42854303  -1.4432383 ]
  [ -1.42855794  -1.19545666  -0.9378035    6.33930141]]

 [[ -2.90208109  -4.05346966  -3.0012183   -3.57714858]
  [ -2.86777405  -3.73873356  -2.92929075  -2.67989929]
  [ -1.47786176  -2.62646172  -2.56240818  -2.49256542]
  [ -2.66801724   0.11866555  -1.42856838  -1.42068971]
  [ -1.34308841   0.           0.          15.57126211]]

 [[ -1.4283499   -2.13503024  -2.86457801  -2.83791257]
  [ -1.4284662   -1.35960945  -2.7710197   -2.77553853]
  [ -1.42852145   2.71662027  -1.39363858  -0.9755169 ]
  [ -1.1268692    9.646875    -1.42421978   0.        ]
  [  0.           0.           0.           0.        ]]]"
10,"[[[-10.98821107 -10.83940634 -11.01519656 -10.22096556]
  [ -7.61199669  -8.61688351  -7.71921043  -7.70470595]
  [ -6.04536064  -4.9499524   -5.57687     -6.31199524]
  [ -3.04335923  -3.65971321  -2.60772787  -3.26675643]
  [ -2.64681598  -1.41670434  -2.73268721  -1.99514646]]

 [[ -7.02996778  -7.32390274  -7.56871125  -6.88887878]
  [ -5.76885472  -5.73289953  -7.00864347  -6.0180022 ]
  [ -4.44085993  -3.81365746  -4.56599629  -4.21081085]
  [ -1.42851163  -2.64158408  -2.93470516  -2.47217626]
  [ -1.4280135   -1.42589392  -1.42293456  -1.12602997]]

 [[ -4.46162694  -3.99765245  -4.76085116  -5.00690274]
  [ -2.89283456  -3.54973746  -5.45776231  -3.88717084]
  [ -2.85602469  -2.2392632   -2.91101095  -2.32372016]
  [ -1.43909965   0.90298522  -1.42854303  -1.4432383 ]
  [ -1.42855794  -1.19545666  -0.9378035    7.52910862]]

 [[ -2.90208109  -4.05346966  -3.0012183   -3.57714858]
  [ -2.86777405  -3.73873356  -2.92929075  -2.67989929]
  [ -1.47786176  -2.62646172  -2.56240818  -2.49256542]
  [ -2.66801724   0.11866555  -1.42856838  -1.42068971]
  [ -1.34308841   0.           0.          16.98557279]]

 [[ -1.4283499   -2.13503024  -2.86457801  -2.83791257]
  [ -1.4284662   -1.35960945  -2.7710197   -2.77553853]
  [ -1.42852145   2.71662027  -1.39363858  -0.9755169 ]
  [ -1.1268692    9.646875    -1.42421978   0.        ]
  [  0.           0.           0.           0.        ]]]"
