Episode,Q-table
1,"[[[-1.494375   -2.03625    -0.75       -0.75      ]
  [-1.494375   -2.03625    -1.494375   -1.3875    ]
  [-1.494375   -1.494375   -1.494375   -2.12709375]
  [-1.494375   -1.3875     -0.75       -0.75      ]
  [-1.494375   -0.75       -0.75       -0.75      ]]

 [[-2.12709375 -1.494375   -0.856875   -0.75      ]
  [-1.3875     -1.3875     -1.6760625  -1.3875    ]
  [-1.494375   -1.494375   -1.60044844 -1.494375  ]
  [-1.494375   -0.75       -0.75       -0.75      ]
  [-0.75       -0.75       -0.75        0.        ]]

 [[-0.75       -1.494375   -0.856875   -0.75      ]
  [-1.3875     -1.3875     -1.60044844 -1.3875    ]
  [-1.494375   -1.3875     -0.856875   -1.494375  ]
  [-1.494375   -0.75       -0.75       -0.75      ]
  [-0.75        0.          0.          0.        ]]

 [[-1.494375   -1.494375   -0.856875   -0.75      ]
  [-1.494375   -1.494375   -1.60044844 -1.3875    ]
  [-1.494375   -1.3875     -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875   -0.75      ]
  [-0.75        0.          0.          0.        ]]

 [[-1.494375   -1.3875     -0.75       -0.75      ]
  [-1.3875     -1.3875     -1.60044844 -1.494375  ]
  [-1.3875     -0.75       -0.75       -1.494375  ]
  [-0.75        3.75        0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
2,"[[[-2.23316719 -2.03625    -2.23316719 -2.23316719]
  [-1.494375   -2.03625    -1.494375   -1.3875    ]
  [-1.494375   -1.494375   -1.494375   -2.12709375]
  [-1.494375   -1.3875     -0.75       -0.75      ]
  [-1.494375   -0.75       -0.75       -0.75      ]]

 [[-2.12709375 -2.2179375  -1.69129219 -2.23316719]
  [-2.03625    -1.3875     -1.6760625  -1.3875    ]
  [-1.494375   -1.494375   -1.60044844 -1.494375  ]
  [-1.494375   -0.75       -0.75       -0.75      ]
  [-0.75       -0.75       -0.75        0.        ]]

 [[-2.86114055 -2.2179375  -1.60044844 -2.23316719]
  [-2.14232344 -1.3875     -1.60044844 -1.3875    ]
  [-1.494375   -1.3875     -0.856875   -1.494375  ]
  [-1.494375   -0.75       -0.75       -0.75      ]
  [-0.75        0.          0.          0.        ]]

 [[-2.23316719 -2.2179375  -1.60044844 -2.12709375]
  [-1.494375   -1.494375   -1.60044844 -2.12709375]
  [-1.494375   -1.3875     -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875   -0.75      ]
  [-0.75        0.          0.          0.        ]]

 [[-2.23316719 -2.12709375 -2.24611242 -2.23316719]
  [-2.14232344 -2.03625    -1.60044844 -1.494375  ]
  [-1.3875     -0.853125   -0.75       -1.494375  ]
  [-0.75        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
3,"[[[-2.23316719 -2.67853125 -2.23316719 -2.23316719]
  [-1.494375   -2.03625    -1.494375   -2.12709375]
  [-1.494375   -1.494375   -1.494375   -2.12709375]
  [-1.494375   -2.03625    -1.494375   -1.494375  ]
  [-2.12709375 -2.12709375 -1.494375   -1.494375  ]]

 [[-2.12709375 -2.2179375  -1.69129219 -2.23316719]
  [-2.03625    -2.14232344 -1.6760625  -2.12709375]
  [-2.2179375  -2.12709375 -1.60044844 -1.494375  ]
  [-1.494375   -2.03625    -1.494375   -1.494375  ]
  [-1.494375   -1.494375   -1.494375   -1.494375  ]]

 [[-2.86114055 -2.2179375  -1.60044844 -2.23316719]
  [-2.14232344 -2.05147969 -1.60044844 -1.3875    ]
  [-1.494375   -1.3875     -1.69129219 -1.494375  ]
  [-1.494375   -1.3875     -1.58521875 -0.75      ]
  [-1.494375   -1.494375   -0.856875   -1.3875    ]]

 [[-2.23316719 -2.2179375  -1.60044844 -2.12709375]
  [-1.494375   -1.494375   -1.60044844 -2.12709375]
  [-1.494375   -1.3875     -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875    3.75      ]]

 [[-2.23316719 -2.12709375 -2.24611242 -2.23316719]
  [-2.14232344 -2.03625    -1.60044844 -1.494375  ]
  [-1.3875     -0.853125   -0.75       -1.494375  ]
  [-0.75        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
4,"[[[-3.6941703  -3.82197132 -3.6941703  -4.14030466]
  [-3.31716324 -2.69376094 -2.96641843 -2.84819531]
  [-2.32332961 -2.23316719 -1.494375   -2.12709375]
  [-2.23316719 -2.03625    -1.494375   -1.494375  ]
  [-2.12709375 -2.12709375 -1.494375   -1.494375  ]]

 [[-3.58968199 -3.49608377 -3.35661033 -2.87625601]
  [-2.84693619 -2.14232344 -2.38760156 -2.75574844]
  [-2.2179375  -2.12709375 -1.60044844 -1.494375  ]
  [-1.494375   -2.03625    -1.494375   -1.494375  ]
  [-1.494375   -1.494375   -1.494375   -1.494375  ]]

 [[-2.86114055 -2.2179375  -2.41349203 -2.23316719]
  [-2.14232344 -2.05147969 -1.60044844 -2.14232344]
  [-1.494375   -2.03625    -1.69129219 -1.494375  ]
  [-1.494375   -1.3875     -1.58521875 -1.494375  ]
  [-1.494375   -1.494375   -0.856875   -1.3875    ]]

 [[-2.23316719 -2.2179375  -1.60044844 -2.12709375]
  [-1.494375   -2.12709375 -1.60044844 -2.77097813]
  [-1.494375   -2.03625    -1.6760625  -1.494375  ]
  [-1.58521875 -0.853125   -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875    6.9375    ]]

 [[-2.23316719 -2.12709375 -2.24611242 -2.23316719]
  [-2.14232344 -2.03625    -2.32332961 -2.23316719]
  [-1.3875     -0.853125   -1.50960469 -1.494375  ]
  [-0.75        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
5,"[[[-4.41646402 -4.38253656 -4.41646402 -4.67912544]
  [-4.15958217 -3.25264523 -2.96641843 -3.51119924]
  [-3.130698   -2.86114055 -2.96641843 -2.77097813]
  [-2.97926658 -2.69376094 -2.23316719 -2.23316719]
  [-2.87625601 -2.12709375 -2.23316719 -2.23316719]]

 [[-3.58968199 -3.49608377 -3.35661033 -3.5108737 ]
  [-2.84693619 -2.79903882 -3.20217595 -3.39766726]
  [-3.02794103 -2.77097813 -2.4286075  -2.23316719]
  [-2.32332961 -2.03625    -2.23316719 -2.2179375 ]
  [-2.23316719 -1.494375   -2.32332961 -1.494375  ]]

 [[-2.86114055 -2.92758273 -2.41349203 -2.87625601]
  [-2.88920125 -2.70670617 -2.41566226 -2.14232344]
  [-2.24828265 -2.03625    -2.50365445 -1.494375  ]
  [-1.494375   -2.05147969 -1.58521875 -1.494375  ]
  [-1.494375   -1.494375   -1.69129219 -1.3875    ]]

 [[-2.23316719 -2.2179375  -1.60044844 -2.86114055]
  [-1.494375   -2.12709375 -1.60044844 -2.77097813]
  [-1.494375   -2.03625    -1.6760625  -1.494375  ]
  [-1.58521875 -0.853125   -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875    6.9375    ]]

 [[-2.23316719 -2.84819531 -2.24611242 -2.23316719]
  [-2.14232344 -2.60238281 -2.32332961 -2.23316719]
  [-1.3875     -0.4865625  -1.50960469 -1.494375  ]
  [-0.75        9.646875    0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
6,"[[[-5.84484048 -5.41353599 -5.84484048 -5.69193078]
  [-5.01714587 -4.49588553 -4.41646402 -4.19082943]
  [-4.00383376 -3.50019579 -3.6941703  -3.42355773]
  [-2.97926658 -3.34280766 -2.96641843 -3.57867854]
  [-3.61353359 -2.86114055 -2.23316719 -2.23316719]]

 [[-3.58968199 -4.12053424 -5.04554174 -4.14195518]
  [-3.67019527 -3.5606646  -3.99826883 -3.39766726]
  [-3.72943828 -3.42355773 -3.2220289  -3.3949179 ]
  [-3.1325427  -2.69376094 -3.03205304 -2.84819531]
  [-2.9642482  -2.23316719 -2.32332961 -1.494375  ]]

 [[-3.58968199 -2.92758273 -3.2797852  -3.5108737 ]
  [-2.88920125 -2.70670617 -2.41566226 -2.87408578]
  [-2.24828265 -2.03625    -3.88541981 -2.23316719]
  [-2.23316719 -2.05147969 -1.58521875 -1.494375  ]
  [-1.494375   -1.494375   -1.69129219 -1.3875    ]]

 [[-2.23316719 -2.86331078 -2.45430379 -2.86114055]
  [-2.24828265 -2.77097813 -2.41566226 -2.77097813]
  [-2.23316719 -2.03625    -1.6760625  -2.08955391]
  [-1.58521875 -0.853125   -0.856875   -0.75      ]
  [-0.75       -0.75       -0.856875    6.9375    ]]

 [[-2.23316719 -2.84819531 -2.24611242 -2.23316719]
  [-2.14232344 -2.60238281 -2.32332961 -2.23316719]
  [-1.3875      0.21110156 -1.50960469 -1.494375  ]
  [-0.75       11.94984375  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
7,"[[[-5.84484048 -5.94869878 -5.84484048 -5.69193078]
  [-5.01714587 -4.49588553 -5.10118761 -4.7963726 ]
  [-4.00383376 -3.50019579 -3.6941703  -4.14379987]
  [-2.97926658 -3.34280766 -2.96641843 -3.57867854]
  [-3.61353359 -2.86114055 -2.23316719 -2.23316719]]

 [[-3.58968199 -4.12053424 -5.04554174 -4.14195518]
  [-3.67019527 -4.23570403 -3.99826883 -3.39766726]
  [-3.72943828 -3.42355773 -3.97658154 -3.92584584]
  [-3.1325427  -2.69376094 -3.03205304 -2.84819531]
  [-2.9642482  -2.23316719 -2.32332961 -1.494375  ]]

 [[-3.58968199 -2.92758273 -3.2797852  -3.5108737 ]
  [-2.88920125 -2.70670617 -2.41566226 -2.87408578]
  [-2.24828265 -2.69376094 -3.88541981 -2.23316719]
  [-2.23316719 -2.05147969 -1.58521875 -2.12709375]
  [-1.494375   -1.494375   -1.69129219 -1.3875    ]]

 [[-2.23316719 -2.86331078 -2.45430379 -2.86114055]
  [-2.24828265 -2.77097813 -2.41566226 -2.77097813]
  [-2.23316719 -2.03625    -1.6760625  -2.08955391]
  [-1.58521875 -0.853125   -0.856875    0.31535273]
  [-0.75       -0.75       -0.856875    6.9375    ]]

 [[-2.23316719 -2.84819531 -2.24611242 -2.23316719]
  [-2.14232344 -2.60238281 -2.32332961 -2.23316719]
  [-1.3875      0.21110156 -1.50960469 -1.494375  ]
  [-0.75       13.90736719  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
8,"[[[-6.55100418 -5.94869878 -5.84484048 -6.4462499 ]
  [-5.01714587 -4.49588553 -5.10118761 -4.7963726 ]
  [-4.00383376 -4.20151651 -3.6941703  -4.14379987]
  [-3.78115449 -3.90961283 -3.6941703  -3.57867854]
  [-3.61353359 -2.86114055 -2.96641843 -2.86114055]]

 [[-4.31275938 -4.73662169 -5.87160025 -4.14195518]
  [-3.67019527 -4.8382054  -3.99826883 -3.98224904]
  [-3.72943828 -4.043885   -3.97658154 -3.92584584]
  [-3.1325427  -2.69376094 -3.74995971 -2.84819531]
  [-2.9642482  -2.23316719 -2.32332961 -2.2179375 ]]

 [[-3.58968199 -2.92758273 -3.2797852  -3.5108737 ]
  [-2.88920125 -2.70670617 -3.32631575 -2.87408578]
  [-2.24828265 -2.69376094 -3.88541981 -2.23316719]
  [-2.23316719 -2.05147969 -1.58521875 -2.12709375]
  [-1.494375   -1.494375   -1.69129219 -0.94078125]]

 [[-2.23316719 -2.86331078 -2.45430379 -2.86114055]
  [-2.24828265 -2.77097813 -2.41566226 -2.77097813]
  [-2.23316719 -2.03625    -1.6760625  -2.08955391]
  [-1.58521875 -0.853125   -0.856875    0.31535273]
  [-0.75       -0.75       -0.856875    9.646875  ]]

 [[-2.23316719 -2.84819531 -2.24611242 -2.23316719]
  [-2.14232344 -2.60238281 -2.32332961 -2.23316719]
  [-1.3875      0.21110156 -1.50960469 -1.494375  ]
  [-0.75       13.90736719  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
9,"[[[-6.55100418 -6.44705765 -6.55100418 -6.4462499 ]
  [-5.01714587 -5.09792197 -5.10118761 -5.34991953]
  [-4.83674179 -4.20151651 -4.41646402 -4.14379987]
  [-3.78115449 -3.90961283 -3.6941703  -3.57867854]
  [-3.61353359 -2.86114055 -2.96641843 -2.86114055]]

 [[-4.31275938 -4.73662169 -5.87160025 -4.68784244]
  [-4.45989459 -4.8382054  -3.99826883 -3.98224904]
  [-3.72943828 -4.043885   -3.97658154 -3.92584584]
  [-3.1325427  -2.69376094 -3.74995971 -2.84819531]
  [-2.9642482  -2.23316719 -2.32332961 -2.2179375 ]]

 [[-3.58968199 -3.62415095 -3.2797852  -3.5108737 ]
  [-2.88920125 -3.36892657 -3.32631575 -2.87408578]
  [-2.24828265 -2.69376094 -3.88541981 -3.49414199]
  [-2.23316719 -2.05147969 -1.58521875 -2.12709375]
  [-1.494375   -1.494375   -1.69129219 -0.94078125]]

 [[-2.23316719 -2.86331078 -2.45430379 -2.86114055]
  [-2.24828265 -2.77097813 -2.41566226 -2.77097813]
  [-2.23316719 -2.43587474 -2.4950334  -2.08955391]
  [-1.58521875 -0.853125   -0.856875    1.49984965]
  [-0.75       -0.75       -0.856875    9.646875  ]]

 [[-2.23316719 -2.84819531 -2.24611242 -2.23316719]
  [-2.14232344 -2.60238281 -2.32332961 -2.23316719]
  [-1.3875      0.21110156 -1.50960469 -1.494375  ]
  [-0.75       15.57126211  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
10,"[[[-6.55100418 -6.95645289 -6.55100418 -6.84388063]
  [-5.9332797  -5.67372516 -5.10118761 -5.34991953]
  [-4.83674179 -4.20151651 -4.41646402 -4.80367485]
  [-3.78115449 -3.90961283 -3.6941703  -3.57867854]
  [-3.61353359 -2.86114055 -2.96641843 -2.86114055]]

 [[-5.03041368 -5.34359892 -5.87160025 -5.23496558]
  [-4.45989459 -4.8382054  -4.86347179 -5.09287061]
  [-4.55555752 -4.043885   -3.97658154 -4.40734924]
  [-3.1325427  -2.69376094 -3.74995971 -2.84819531]
  [-2.9642482  -2.23316719 -2.32332961 -2.2179375 ]]

 [[-4.31275938 -4.3045283  -4.15238563 -4.14195518]
  [-3.71735074 -3.93396786 -4.14712169 -4.1312146 ]
  [-3.16169308 -2.69376094 -4.61203987 -3.49414199]
  [-2.23316719 -2.05147969 -1.58521875 -2.12709375]
  [-1.494375   -1.494375   -1.69129219 -0.94078125]]

 [[-2.96641843 -3.52804603 -3.30352761 -3.5878373 ]
  [-3.06906204 -2.77097813 -3.2150241  -4.01986017]
  [-2.23316719 -2.43587474 -2.4950334  -2.08955391]
  [-1.58521875 -0.853125   -0.856875    1.49984965]
  [-0.75       -0.75       -0.856875    9.646875  ]]

 [[-2.96641843 -3.48919234 -2.97742188 -2.96641843]
  [-2.88920125 -2.93194342 -3.04521045 -2.96641843]
  [-1.3875      1.64834118 -1.50960469 -1.99013678]
  [-0.75       16.98557279  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
