Episode,Total Rewards
1,-420
2,-105
3,-230
4,-40
5,-15
6,-180
7,-45
8,-35
9,-15
10,-55
11,-50
12,-100
13,-15
14,-60
15,-50
16,-75
17,-10
18,-30
19,-30
20,-10
21,-20
22,-30
23,-15
24,-20
25,-25
26,-25
27,-15
28,-10
29,-30
30,-10
31,-10
32,-10
33,-10
34,-25
35,-10
36,-25
37,-10
38,-10
39,-30
40,-20
41,-10
42,-20
43,-20
44,-10
45,-15
46,-10
47,-30
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-40
55,-10
56,-20
57,-10
58,-10
59,-20
60,-10
61,-10
62,-20
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-20
70,-15
71,-20
72,-10
73,-10
74,-10
75,-10
76,-10
77,-30
78,-10
79,-10
80,-40
81,-30
82,-10
83,-10
84,-10
85,-10
86,-10
87,-10
88,-10
89,-10
90,-10
91,-25
92,-10
93,-10
94,-15
95,-10
96,-25
97,-10
98,-30
99,-10
100,-10
101,-10
102,-10
103,-10
104,-10
105,-10
106,-10
107,-10
108,-20
109,-10
110,-10
111,-10
112,-10
113,-15
114,-10
115,-30
116,-15
117,-10
118,-10
119,-10
120,-10
121,-35
122,-10
123,-10
124,-10
125,-20
126,-10
127,-10
128,-20
129,-10
130,-10
131,-20
132,-10
133,-10
134,-10
135,-20
136,-10
137,-10
138,-10
139,-10
140,-10
141,-10
142,-15
143,-10
144,-10
145,-10
146,-10
147,-10
148,-10
149,-10
150,-20
151,-10
152,-10
153,-10
154,-20
155,-10
156,-30
157,-10
158,-20
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-20
168,-10
169,-20
170,-10
171,-15
172,-10
173,-10
174,-10
175,-10
176,-10
177,-15
178,-10
179,-10
180,-10
181,-10
182,-10
183,-10
184,-30
185,-35
186,-15
187,-35
188,-10
189,-10
190,-10
191,-10
192,-30
193,-10
194,-20
195,-10
196,-20
197,-10
198,-20
199,-30
200,-10
201,-10
202,-10
203,-10
204,-15
205,-20
206,-10
207,-10
208,-10
209,-10
210,-10
211,-15
212,-10
213,-20
214,-10
215,-20
216,-10
217,-30
218,-20
219,-10
220,-10
221,-10
222,-10
223,-10
224,-10
225,-20
226,-20
227,-10
228,-10
229,-20
230,-10
231,-10
232,-10
233,-10
234,-10
235,-25
236,-20
237,-20
238,-10
239,-10
240,-30
241,-10
242,-10
243,-20
244,-10
245,-10
246,-10
247,-10
248,-20
249,-20
250,-10
251,-10
252,-10
253,-10
254,-10
255,-20
256,-10
257,-10
258,-15
259,-10
260,-10
261,-10
262,-15
263,-10
264,-10
265,-25
266,-10
267,-20
268,-10
269,-25
270,-10
271,-10
272,-15
273,-10
274,-10
275,-10
276,-10
277,-10
278,-10
279,-20
280,-10
281,-20
282,-10
283,-20
284,-10
285,-10
286,-15
287,-10
288,-10
289,-10
290,-35
291,-30
292,-10
293,-10
294,-10
295,-10
296,-25
297,-10
298,-10
299,-10
300,-15
301,-10
302,-30
303,-10
304,-20
305,-20
306,-10
307,-10
308,-10
309,-20
310,-10
311,-10
312,-10
313,-10
314,-10
315,-10
316,-20
317,-20
318,-10
319,-10
320,-10
321,-25
322,-10
323,-10
324,-10
325,-20
326,-10
327,-10
328,-10
329,-10
330,-20
331,-10
332,-10
333,-10
334,-10
335,-30
336,-15
337,-10
338,-10
339,-15
340,-15
341,-10
342,-10
343,-10
344,-15
345,-10
346,-20
347,-10
348,-20
349,-10
350,-10
351,-20
352,-10
353,-10
354,-10
355,-10
356,-10
357,-10
358,-40
359,-10
360,-10
361,-10
362,-10
363,-25
364,-10
365,-10
366,-10
367,-10
368,-10
369,-20
370,-10
371,-10
372,-10
373,-20
374,-40
375,-20
376,-10
377,-10
378,-10
379,-10
380,-10
381,-15
382,-10
383,-15
384,-10
385,-30
386,-10
387,-10
388,-10
389,-10
390,-15
391,-20
392,-30
393,-10
394,-20
395,-10
396,-10
397,-10
398,-10
399,-10
400,-15
401,-20
402,-10
403,-10
404,-10
405,-10
406,-20
407,-10
408,-15
409,-10
410,-10
411,-20
412,-10
413,-10
414,-10
415,-20
416,-20
417,-10
418,-10
419,-10
420,-10
421,-30
422,-10
423,-20
424,-20
425,-10
426,-25
427,-10
428,-10
429,-10
430,-10
431,-10
432,-40
433,-10
434,-15
435,-10
436,-20
437,-20
438,-20
439,-10
440,-10
441,-10
442,-10
443,-20
444,-15
445,-30
446,-10
447,-10
448,-10
449,-10
450,-10
451,-20
452,-15
453,-10
454,-20
455,-20
456,-20
457,-20
458,-20
459,-30
460,-10
461,-10
462,-15
463,-10
464,-10
465,-30
466,-10
467,-10
468,-20
469,-25
470,-10
471,-10
472,-20
473,-10
474,-10
475,-30
476,-10
477,-10
478,-10
479,-35
480,-10
481,-10
482,-10
483,-10
484,-10
485,-10
486,-10
487,-10
488,-20
489,-10
490,-10
491,-10
492,-20
493,-20
494,-20
495,-10
496,-10
497,-10
498,-10
499,-10
500,-10
501,-20
502,-10
503,-15
504,-10
505,-10
506,-10
507,-15
508,-10
509,-10
510,-20
511,-20
512,-30
513,-10
514,-20
515,-20
516,-15
517,-15
518,-10
519,-15
520,-10
521,-10
522,-10
523,-10
524,-30
525,-10
526,-15
527,-30
528,-10
529,-10
530,-10
531,-10
532,-10
533,-10
534,-10
535,-10
536,-20
537,-10
538,-10
539,-10
540,-10
541,-10
542,-10
543,-10
544,-10
545,-10
546,-10
547,-20
548,-10
549,-10
550,-20
551,-10
552,-10
553,-20
554,-10
555,-10
556,-15
557,-10
558,-25
559,-10
560,-10
561,-35
562,-10
563,-25
564,-10
565,-10
566,-10
567,-10
568,-20
569,-30
570,-20
571,-10
572,-20
573,-10
574,-10
575,-10
576,-10
577,-10
578,-40
579,-10
580,-30
581,-10
582,-10
583,-10
584,-10
585,-10
586,-10
587,-10
588,-20
589,-15
590,-30
591,-10
592,-10
593,-10
594,-15
595,-10
596,-10
597,-10
598,-30
599,-10
600,-10
601,-25
602,-10
603,-20
604,-10
605,-10
606,-10
607,-10
608,-20
609,-20
610,-10
611,-15
612,-10
613,-10
614,-10
615,-10
616,-20
617,-10
618,-35
619,-15
620,-10
621,-30
622,-15
623,-10
624,-10
625,-20
626,-10
627,-10
628,-10
629,-20
630,-10
631,-10
632,-10
633,-10
634,-10
635,-10
636,-20
637,-35
638,-20
639,-15
640,-10
641,-15
642,-20
643,-10
644,-10
645,-10
646,-25
647,-20
648,-10
649,-10
650,-10
651,-20
652,-15
653,-15
654,-10
655,-10
656,-10
657,-20
658,-10
659,-10
660,-30
661,-10
662,-10
663,-10
664,-10
665,-10
666,-10
667,-30
668,-10
669,-10
670,-10
671,-20
672,-20
673,-20
674,-20
675,-10
676,-10
677,-10
678,-10
679,-15
680,-10
681,-20
682,-10
683,-10
684,-25
685,-10
686,-10
687,-10
688,-20
689,-10
690,-20
691,-10
692,-10
693,-10
694,-10
695,-20
696,-20
697,-20
698,-20
699,-25
700,-20
701,-20
702,-40
703,-20
704,-10
705,-30
706,-10
707,-10
708,-10
709,-10
710,-10
711,-10
712,-10
713,-15
714,-20
715,-10
716,-10
717,-20
718,-10
719,-20
720,-20
721,-10
722,-10
723,-10
724,-10
725,-10
726,-10
727,-10
728,-10
729,-10
730,-10
731,-10
732,-10
733,-20
734,-10
735,-10
736,-15
737,-10
738,-45
739,-10
740,-10
741,-10
742,-30
743,-35
744,-15
745,-10
746,-15
747,-10
748,-10
749,-15
750,-20
751,-20
752,-40
753,-10
754,-10
755,-25
756,-20
757,-10
758,-20
759,-20
760,-10
761,-10
762,-20
763,-10
764,-15
765,-15
766,-30
767,-10
768,-10
769,-20
770,-10
771,-20
772,-10
773,-20
774,-10
775,-10
776,-10
777,-20
778,-10
779,-10
780,-10
781,-10
782,-10
783,-20
784,-10
785,-25
786,-10
787,-10
788,-20
789,-20
790,-10
791,-15
792,-20
793,-10
794,-10
795,-10
796,-10
797,-30
798,-20
799,-10
800,-20
801,-10
802,-15
803,-10
804,-10
805,-10
806,-10
807,-10
808,-10
809,-10
810,-10
811,-10
812,-10
813,-10
814,-10
815,-10
816,-10
817,-10
818,-25
819,-10
820,-10
821,-10
822,-15
823,-15
824,-35
825,-30
826,-20
827,-20
828,-55
829,-20
830,-10
831,-15
832,-10
833,-10
834,-10
835,-30
836,-10
837,-10
838,-10
839,-15
840,-10
841,-10
842,-10
843,-10
844,-10
845,-10
846,-10
847,-10
848,-10
849,-20
850,-20
851,-10
852,-10
853,-30
854,-25
855,-10
856,-10
857,-20
858,-10
859,-10
860,-10
861,-10
862,-15
863,-10
864,-15
865,-20
866,-30
867,-10
868,-10
869,-10
870,-10
871,-10
872,-20
873,-25
874,-10
875,-10
876,-15
877,-20
878,-35
879,-10
880,-10
881,-20
882,-15
883,-25
884,-10
885,-10
886,-30
887,-20
888,-20
889,-20
890,-10
891,-10
892,-10
893,-10
894,-10
895,-10
896,-10
897,-15
898,-10
899,-15
900,-10
901,-25
902,-10
903,-20
904,-10
905,-10
906,-20
907,-10
908,-20
909,-10
910,-10
911,-10
912,-10
913,-25
914,-15
915,-10
916,-10
917,-30
918,-10
919,-10
920,-10
921,-10
922,-20
923,-20
924,-30
925,-10
926,-20
927,-10
928,-10
929,-20
930,-20
931,-10
932,-10
933,-10
934,-10
935,-20
936,-20
937,-35
938,-15
939,-10
940,-10
941,-15
942,-10
943,-15
944,-10
945,-20
946,-10
947,-10
948,-35
949,-10
950,-10
951,-10
952,-25
953,-10
954,-10
955,-10
956,-10
957,-20
958,-10
959,-10
960,-10
961,-10
962,-10
963,-10
964,-10
965,-10
966,-10
967,-10
968,-10
969,-20
970,-10
971,-10
972,-10
973,-15
974,-15
975,-10
976,-10
977,-20
978,-10
979,-10
980,-10
981,-15
982,-10
983,-10
984,-10
985,-20
986,-10
987,-10
988,-10
989,-25
990,-30
991,-10
992,-10
993,-30
994,-10
995,-20
996,-10
997,-10
998,-30
999,-10
1000,-10
