Episode,Total Rewards
1,-158
2,-62
3,10
4,-36
5,0
6,16
7,5
8,10
9,-7
10,12
11,14
12,13
13,11
14,8
15,-2
16,-1
17,-1
18,12
19,7
20,18
21,0
22,16
23,18
24,13
25,14
26,16
27,14
28,11
29,14
30,18
31,0
32,16
33,12
34,14
35,18
36,18
37,13
38,16
39,13
40,16
41,13
42,18
43,18
44,18
45,16
46,18
47,18
48,18
49,16
50,16
51,18
52,18
53,18
54,14
55,8
56,14
57,13
58,18
59,13
60,11
61,18
62,18
63,18
64,13
65,14
66,13
67,18
68,4
69,16
70,14
71,18
72,13
73,18
74,18
75,18
76,18
77,18
78,18
79,18
80,18
81,13
82,18
83,18
84,18
85,14
86,18
87,18
88,18
89,18
90,16
91,18
92,14
93,18
94,14
95,18
96,16
97,18
98,18
99,18
100,18
101,18
102,13
103,16
104,14
105,16
106,18
107,1
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,18
116,12
117,16
118,18
119,18
120,18
121,18
122,18
123,16
124,18
125,11
126,18
127,18
128,18
129,18
130,18
131,18
132,11
133,16
134,16
135,18
136,18
137,18
138,13
139,18
140,18
141,18
142,18
143,18
144,16
145,18
146,18
147,18
148,18
149,18
150,18
151,13
152,18
153,18
154,13
155,16
156,18
157,18
158,13
159,18
160,18
161,18
162,18
163,16
164,14
165,18
166,18
167,18
168,18
169,18
170,18
171,18
172,16
173,18
174,16
175,13
176,18
177,16
178,16
179,18
180,18
181,18
182,18
183,18
184,18
185,18
186,8
187,13
188,18
189,18
190,18
191,16
192,18
193,13
194,18
195,18
196,13
197,18
198,13
199,16
200,18
201,18
202,18
203,13
204,18
205,18
206,12
207,18
208,18
209,18
210,14
211,16
212,18
213,13
214,18
215,18
216,18
217,18
218,14
219,18
220,18
221,18
222,18
223,14
224,16
225,11
226,18
227,13
228,13
229,18
230,13
231,13
232,18
233,18
234,18
235,18
236,13
237,18
238,18
239,18
240,18
241,13
242,18
243,18
244,18
245,18
246,13
247,18
248,14
249,18
250,10
251,14
252,18
253,16
254,18
255,13
256,18
257,18
258,18
259,18
260,16
261,14
262,18
263,16
264,18
265,18
266,18
267,13
268,18
269,18
270,16
271,18
272,18
273,8
274,13
275,13
276,16
277,13
278,18
279,16
280,13
281,16
282,18
283,14
284,13
285,18
286,12
287,18
288,13
289,16
290,18
291,18
292,18
293,18
294,16
295,18
296,18
297,18
298,18
299,11
