Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
1,"[np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(0), 1, np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(0), 2, np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(2), 1, np.int64(1), np.int64(0), np.int64(2), np.int64(1), 2, np.int64(0), np.int64(2), np.int64(3), np.int64(3), 3, np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(2), np.int64(0), 2, np.int64(0), np.int64(2), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(1), 1]",-100,86,"[[[-0.9646128  -0.67318351 -1.02190105 -0.57242326]
  [-0.635403   -0.60961603 -0.88702686 -0.5414393 ]
  [-0.82677476 -0.42117753 -0.88610538 -0.56029483]
  [-0.57090006 -0.63536826 -0.88898801 -0.29260635]
  [-0.57226931  0.         -1.02182792  0.        ]]

 [[-0.88931212 -0.29328867 -0.31928498 -0.28640371]
  [-0.30166036 -0.28936351 -0.2915318  -0.54881899]
  [-0.28744767 -0.55290187 -0.71459685 -0.35003408]
  [-0.63511158 -0.32318736 -0.45179992 -0.5813119 ]
  [-0.36460496  0.          0.          0.        ]]

 [[-0.88586984 -0.28716571 -0.28604176  0.        ]
  [-0.57078817 -0.28876993 -0.29439186 -0.61767747]
  [-0.42112438 -0.29214721 -0.31422587  0.14680078]
  [-0.29925729 -0.29487083 -0.63924423 -0.31626081]
  [-0.30499123  0.          0.          0.        ]]

 [[-0.88576424 -0.28581946  0.          0.        ]
  [-0.57073801 -0.43117342 -0.32107847 -0.42079088]
  [-0.42110056 -0.28618041 -0.08026963  0.62484375]
  [-0.35002276 -0.28669561 -0.29006365  0.        ]
  [-0.28778023  0.          0.          0.        ]]

 [[-0.8843917  -0.2829299   0.          0.        ]
  [-0.57008606 -0.27985243 -0.25973375  0.        ]
  [-0.27337353  1.63125     0.          0.        ]
  [ 0.          3.75        0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
2,"[np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(1), 2, np.int64(3), np.int64(1)]",-2,20,"[[[-0.9646128  -0.67318351 -1.02190105 -0.79510146]
  [-0.635403   -0.60961603 -0.88702686 -0.5414393 ]
  [-0.82677476 -0.42117753 -0.88610538 -0.56029483]
  [-0.57090006 -0.63536826 -0.88898801 -0.29260635]
  [-0.57226931  0.         -1.02182792  0.        ]]

 [[-0.88931212 -0.29328867 -0.31928498 -0.53425458]
  [-0.30166036 -0.28936351 -0.2915318  -0.54881899]
  [-0.28744767 -0.55290187 -0.71459685 -0.35003408]
  [-0.63511158 -0.32318736 -0.45179992 -0.5813119 ]
  [-0.36460496  0.          0.          0.        ]]

 [[-0.88586984 -0.28716571 -0.28604176 -0.5847198 ]
  [-0.57078817 -0.3632543  -0.29439186 -0.61767747]
  [-0.42112438 -0.29214721 -0.31422587  0.1705503 ]
  [-0.29925729 -0.29487083 -0.63924423 -0.31626081]
  [-0.30499123  0.          0.          0.        ]]

 [[-0.88576424 -0.28581946 -0.30830548 -0.95266097]
  [-0.57073801 -0.43117342 -0.49944649 -0.42079088]
  [-0.42110056 -0.28618041 -0.08026963  0.84953723]
  [-0.35002276 -0.28669561 -0.29006365  1.8984375 ]
  [-0.28778023  0.          0.          0.        ]]

 [[-0.8843917  -0.80123301 -0.45090379 -0.99619398]
  [-0.57008606 -0.27985243 -0.50125218 -0.86472125]
  [-0.27337353  2.12802246  0.          0.        ]
  [ 0.          6.9375      0.75175781  0.        ]
  [ 0.          0.          0.          0.        ]]]"
3,"[np.int64(1), np.int64(3), np.int64(1), 1, np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3), 0, np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(3), 2, np.int64(3), np.int64(1), np.int64(3)]",-12,22,"[[[-9.64612801e-01 -9.26910196e-01 -1.02190105e+00 -7.95101460e-01]
  [-6.35402997e-01 -6.09616030e-01 -8.87026863e-01 -8.09963751e-01]
  [-8.26774759e-01 -4.21177526e-01 -8.86105379e-01 -5.60294832e-01]
  [-5.70900055e-01 -6.35368262e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -2.91874385e-01]]

 [[-8.89312120e-01 -2.93288673e-01 -3.19284979e-01 -5.34254582e-01]
  [-3.01660365e-01 -6.23060443e-01 -2.91531805e-01 -5.48818994e-01]
  [-2.87447665e-01 -9.44775916e-01 -7.14596852e-01 -3.50034082e-01]
  [-6.35111580e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01 -2.19774806e-01]]

 [[-8.85869838e-01 -2.87165715e-01 -2.86041764e-01 -5.84719804e-01]
  [-5.70788173e-01 -3.63254304e-01 -2.94391859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  1.70550302e-01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.27659889e-01]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  8.49537231e-01]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  3.75000000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  2.12802246e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  6.93750000e+00  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
4,"[np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(2), 2, np.int64(3), np.int64(1), 1, np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",-7,29,"[[[-1.80178669e+00 -1.30857572e+00 -1.02190105e+00 -1.20775091e+00]
  [-1.22520747e+00 -8.68105161e-01 -8.87026863e-01 -1.00619847e+00]
  [-8.26774759e-01 -7.15732764e-01 -8.86105379e-01 -8.16827933e-01]
  [-8.36960283e-01 -6.35368262e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -2.91874385e-01]]

 [[-8.89312120e-01 -8.54628139e-01 -7.34768057e-01 -7.95246120e-01]
  [-6.49263882e-01 -7.89256589e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01 -2.49711017e-01]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01 -2.19774806e-01]]

 [[-8.85869838e-01 -2.87165715e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01 -3.63254304e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  5.35844058e-01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.27659889e-01]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  1.73336301e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  3.75000000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  3.93436597e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  9.64687500e+00  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
5,"[np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",11,11,"[[[-1.80178669e+00 -1.47184017e+00 -1.86683851e+00 -1.42375454e+00]
  [-1.22520747e+00 -1.04883322e+00 -8.87026863e-01 -1.00619847e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -8.16827933e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-8.89312120e-01 -8.54628139e-01 -1.03468768e+00 -7.95246120e-01]
  [-6.49263882e-01 -7.89256589e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01 -2.49711017e-01]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -2.87165715e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01 -3.63254304e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  5.35844058e-01]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  1.73336301e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  3.93436597e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  9.64687500e+00  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
6,"[np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[-1.80178669e+00 -1.47184017e+00 -1.86683851e+00 -1.52105556e+00]
  [-1.22520747e+00 -1.04883322e+00 -8.87026863e-01 -1.00619847e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -8.16827933e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-8.89312120e-01 -8.54628139e-01 -1.03468768e+00 -8.95333759e-01]
  [-6.49263882e-01 -7.89256589e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01 -2.49711017e-01]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -3.47067698e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01 -1.55281887e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  1.01400510e+00]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  2.70501231e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  5.66280092e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  1.19498437e+01  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
7,"[np.int64(1), np.int64(2), 3, np.int64(0), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",11,11,"[[[-1.80178669e+00 -1.92488780e+00 -1.86683851e+00 -1.52105556e+00]
  [-1.22520747e+00 -1.04883322e+00 -1.72370544e+00 -1.20268537e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -8.16827933e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-8.89312120e-01 -9.52396473e-01 -1.03468768e+00 -8.95333759e-01]
  [-8.70098768e-01 -7.12400781e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01  5.35545391e-02]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -3.47067698e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01 -1.55281887e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  1.58519073e+00]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  3.73200630e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  7.29605715e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  1.39073672e+01  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
8,"[np.int64(3), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",13,9,"[[[-1.80178669e+00 -1.92488780e+00 -1.86683851e+00 -1.92961913e+00]
  [-1.22520747e+00 -1.04883322e+00 -1.72370544e+00 -1.20268537e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -8.16827933e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-1.64719617e+00 -9.52396473e-01 -1.03468768e+00 -9.25973536e-01]
  [-8.70098768e-01 -7.12400781e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01  5.35545391e-02]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -2.74399686e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  2.50477116e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  2.23061608e+00]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  4.78757064e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  8.82379849e+00  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  1.55712621e+01  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
9,"[np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), 3, np.int64(1), np.int64(1)]",8,10,"[[[-2.89106143e+00 -1.93902079e+00 -2.60955039e+00 -1.92961913e+00]
  [-1.22520747e+00 -1.05600674e+00 -1.72370544e+00 -1.20268537e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -6.02302718e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-1.64719617e+00 -9.52396473e-01 -1.03468768e+00 -9.25973536e-01]
  [-8.70098768e-01 -7.12400781e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01  5.46964020e-01]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -2.74399686e-01 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  2.50477116e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  2.93288949e+00]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  5.84996434e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  1.02409311e+01  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  1.69855728e+01  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
10,"[np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[-2.89106143e+00 -1.93902079e+00 -2.60955039e+00 -1.89995025e+00]
  [-1.22520747e+00 -1.05600674e+00 -1.72370544e+00 -1.20268537e+00]
  [-8.26774759e-01 -8.39842059e-01 -8.86105379e-01 -6.02302718e-01]
  [-8.36960283e-01 -6.16271909e-01 -8.88988014e-01 -6.47740410e-01]
  [-5.72269307e-01 -8.88640333e-01 -1.02182792e+00 -4.89623567e-02]]

 [[-1.64719617e+00 -9.52396473e-01 -1.03468768e+00 -8.79284615e-01]
  [-8.70098768e-01 -7.12400781e-01 -8.74967912e-01 -8.10196185e-01]
  [-6.02428788e-01 -1.07061877e+00 -7.14596852e-01  5.46964020e-01]
  [-6.92071244e-01 -9.10040255e-01 -7.44415021e-01 -9.32857191e-01]
  [-6.63287880e-01 -1.02174948e+00 -5.72104158e-01  5.81169994e-01]]

 [[-8.85869838e-01 -7.04105370e-02 -6.02607605e-01 -5.84719804e-01]
  [-5.70788173e-01  8.33921762e-01 -6.13863859e-01 -6.17677471e-01]
  [-4.21124382e-01 -2.92147213e-01 -3.14225875e-01  3.67621467e+00]
  [-2.99257291e-01 -8.14287637e-01 -6.39244226e-01 -3.16260813e-01]
  [-3.04991230e-01 -8.70836691e-01 -2.54393033e-01  2.09194841e+00]]

 [[-8.85764242e-01 -2.85819456e-01 -3.08305482e-01 -9.52660972e-01]
  [-5.70738015e-01 -4.31173416e-01 -4.99446493e-01 -4.20790878e-01]
  [-4.21100557e-01 -2.86180415e-01 -8.02696289e-02  6.90183526e+00]
  [-3.50022765e-01 -2.86695610e-01 -2.90063646e-01  1.89843750e+00]
  [-2.87780232e-01  1.03125000e+00  6.53825391e-03  6.93750000e+00]]

 [[-8.84391704e-01 -8.01233014e-01 -4.50903793e-01 -9.96193977e-01]
  [-5.70086059e-01 -2.79852428e-01 -5.01252183e-01 -8.64721254e-01]
  [-2.73373533e-01  1.15462635e+01  0.00000000e+00  0.00000000e+00]
  [ 0.00000000e+00  1.81877369e+01  7.51757812e-01  0.00000000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
