Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
1,"[np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(1), 0, np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(1), 3, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), 2, np.int64(1), 0, np.int64(2), np.int64(3), np.int64(0), np.int64(3), 1, np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), 1, np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), 3, 1, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), 1, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(2), 1, np.int64(1), 3, np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]",-158,120,"[[[-0.75       -0.2775     -1.408875   -0.2775    ]
  [-0.298875   -0.298875   -0.75       -0.171375  ]
  [-0.298875   -0.298875   -0.75       -0.15      ]
  [-0.298875   -0.298875   -0.75       -0.298875  ]
  [-0.298875   -0.75       -0.75       -0.15      ]]

 [[-0.75       -0.2775     -0.171375   -0.2775    ]
  [-0.298875   -0.15       -0.15       -0.15      ]
  [-0.15       -0.2775     -0.15       -0.15      ]
  [-0.2775     -0.2775     -0.298875   -0.2775    ]
  [-0.298875   -0.75       -0.15       -0.15      ]]

 [[-0.75       -0.40725    -0.171375   -0.15      ]
  [-0.2775     -0.298875   -0.15       -0.15      ]
  [-0.15       -0.15       -0.15       -0.298875  ]
  [-0.15       -0.15       -0.31704375 -0.15      ]
  [-0.15       -0.75       -0.171375    0.        ]]

 [[-0.75       -0.2775     -0.171375    0.        ]
  [-0.2775     -0.298875   -0.171375   -0.15      ]
  [-0.298875   -0.2775     -0.15       -0.15      ]
  [-0.15       -0.15       -0.15       -0.15      ]
  [-0.15        0.          0.          0.        ]]

 [[-0.75       -0.15        0.          0.        ]
  [-0.15       -0.2775     -0.171375   -0.75      ]
  [-0.2775     -0.15       -0.15       -0.75      ]
  [-0.15        3.75        0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
2,"[np.int64(1), np.int64(3), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(0), 0, np.int64(3), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), 3, np.int64(1), np.int64(0), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), 2, 1, np.int64(3), np.int64(1), np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(0), 1, np.int64(1), 0, 1, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(1), 1, np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(3), np.int64(1), np.int64(1)]",-62,72,"[[[-0.75       -0.65531878 -1.408875   -0.66558413]
  [-0.58551655 -0.42541875 -0.75       -0.46207687]
  [-0.44922248 -0.298875   -0.75       -0.298875  ]
  [-0.298875   -0.298875   -0.75       -0.298875  ]
  [-0.298875   -0.75       -0.75       -0.15      ]]

 [[-0.75       -0.40725    -0.67570535 -0.40725   ]
  [-0.4435875  -0.42541875 -0.32008969 -0.44663344]
  [-0.44663344 -0.42541875 -0.32008969 -0.298875  ]
  [-0.42846469 -0.2775     -0.298875   -0.2775    ]
  [-0.298875   -0.75       -0.15       -0.15      ]]

 [[-0.75       -0.53875219 -0.34613312 -0.2775    ]
  [-0.42541875 -0.53298094 -0.32008969 -0.4435875 ]
  [-0.44663344 -0.42541875 -0.31704375 -0.298875  ]
  [-0.298875   -0.2775     -0.31704375 -0.298875  ]
  [-0.298875   -0.75       -0.171375   -0.15      ]]

 [[-0.75       -0.42846469 -0.32008969 -0.2775    ]
  [-0.42541875 -0.42541875 -0.3352125  -0.30192094]
  [-0.298875   -0.2775     -0.32008969 -0.298875  ]
  [-0.298875   -0.15       -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375    0.        ]]

 [[-0.75       -0.298875   -0.32008969 -1.408875  ]
  [-0.30192094 -0.2775     -0.32008969 -0.75      ]
  [-0.2775      0.256875   -0.15       -0.75      ]
  [-0.15        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
3,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(3), 1, np.int64(1), np.int64(2), np.int64(3), 2, np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",10,16,"[[[-0.75       -0.76764314 -1.408875   -0.66558413]
  [-0.58551655 -0.55419562 -0.75       -0.46207687]
  [-0.44922248 -0.44663344 -0.75       -0.44663344]
  [-0.44663344 -0.44663344 -0.75       -0.298875  ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-0.75       -0.40725    -0.67570535 -0.40725   ]
  [-0.4435875  -0.42541875 -0.32008969 -0.44663344]
  [-0.44663344 -0.55114969 -0.32008969 -0.298875  ]
  [-0.42846469 -0.40725    -0.298875   -0.2775    ]
  [-0.298875   -0.75       -0.44663344 -0.298875  ]]

 [[-0.75       -0.53875219 -0.34613312 -0.2775    ]
  [-0.42541875 -0.53298094 -0.32008969 -0.4435875 ]
  [-0.44663344 -0.42541875 -0.31704375 -0.298875  ]
  [-0.298875   -0.2775     -0.31704375 -0.298875  ]
  [-0.298875   -0.75       -0.171375   -0.2775    ]]

 [[-0.75       -0.42846469 -0.32008969 -0.2775    ]
  [-0.42541875 -0.42541875 -0.3352125  -0.30192094]
  [-0.298875   -0.2775     -0.32008969 -0.298875  ]
  [-0.298875   -0.15       -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375    3.75      ]]

 [[-0.75       -0.298875   -0.32008969 -1.408875  ]
  [-0.30192094 -0.2775     -0.32008969 -0.75      ]
  [-0.2775      0.256875   -0.15       -0.75      ]
  [-0.15        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
4,"[np.int64(3), np.int64(1), 3, np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(3), 0, np.int64(3), 2, np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(1), 0, np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(1), 2, np.int64(3), np.int64(0), 2, np.int64(2), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(2), np.int64(2), 2, np.int64(1), 3, 0, 1, np.int64(2), 2, np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",-36,54,"[[[-0.75       -0.76764314 -1.408875   -0.77377963]
  [-0.58551655 -0.68471155 -1.46647288 -0.60338752]
  [-0.44922248 -0.57222811 -1.45114526 -0.5752512 ]
  [-0.44663344 -0.44663344 -0.75       -0.5850825 ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-0.75       -0.67372021 -0.67570535 -0.70003916]
  [-0.60639119 -0.66667906 -0.64370674 -0.5752512 ]
  [-0.6086113  -0.55114969 -0.4857215  -0.44663344]
  [-0.42846469 -0.53875219 -0.46725497 -0.42541875]
  [-0.44663344 -0.75       -0.44663344 -0.4435875 ]]

 [[-0.75       -0.67458504 -0.65411231 -0.57266216]
  [-0.55114969 -0.53298094 -0.61706457 -0.58767155]
  [-0.44663344 -0.42541875 -0.31704375 -0.4435875 ]
  [-0.298875   -0.41029594 -0.31704375 -0.298875  ]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.57481716 -0.62226027 -0.42846469]
  [-0.57266216 -0.42541875 -0.6344311  -0.44617655]
  [-0.44706748 -0.2775     -0.32008969 -0.298875  ]
  [-0.298875   -0.15       -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375    6.9375    ]]

 [[-0.75       -0.4435875  -0.46768901 -1.408875  ]
  [-0.45224558 -0.2775     -0.46984402 -0.75      ]
  [-0.2775      0.256875   -0.15       -0.75      ]
  [-0.15        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
5,"[np.int64(0), np.int64(1), np.int64(0), 0, np.int64(3), 2, np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(3)]",0,18,"[[[-2.13048235 -0.98902558 -1.408875   -0.90371782]
  [-0.75795266 -0.68471155 -1.46647288 -0.74485268]
  [-0.44922248 -0.57222811 -1.45114526 -0.5752512 ]
  [-0.44663344 -0.44663344 -0.75       -0.5850825 ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-0.75       -0.67372021 -0.85059497 -0.70003916]
  [-0.60639119 -0.66667906 -0.64370674 -0.71491331]
  [-0.6086113  -0.55114969 -0.4857215  -0.59026059]
  [-0.42846469 -0.53875219 -0.46725497 -0.42541875]
  [-0.44663344 -0.75       -0.44663344 -0.4435875 ]]

 [[-0.75       -0.67458504 -0.65411231 -0.57266216]
  [-0.55114969 -0.64821253 -0.61706457 -0.58767155]
  [-0.44663344 -0.55419562 -0.48313245 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.298875  ]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.57481716 -0.62226027 -0.42846469]
  [-0.57266216 -0.42541875 -0.6344311  -0.44617655]
  [-0.44706748 -0.40725    -0.32008969 -0.298875  ]
  [-0.298875    0.71109375 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375    9.646875  ]]

 [[-0.75       -0.4435875  -0.46768901 -1.408875  ]
  [-0.45224558 -0.2775     -0.46984402 -0.75      ]
  [-0.2775      0.256875   -0.15       -0.75      ]
  [-0.15        6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
6,"[np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[-2.13048235 -0.98902558 -1.408875   -1.01416527]
  [-0.75795266 -0.68471155 -1.46647288 -0.74485268]
  [-0.44922248 -0.57222811 -1.45114526 -0.5752512 ]
  [-0.44663344 -0.44663344 -0.75       -0.5850825 ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-0.75       -0.80907292 -0.85059497 -0.82663764]
  [-0.76518809 -0.66667906 -0.64370674 -0.71491331]
  [-0.6086113  -0.55114969 -0.4857215  -0.59026059]
  [-0.42846469 -0.53875219 -0.46725497 -0.42541875]
  [-0.44663344 -0.75       -0.44663344 -0.4435875 ]]

 [[-0.75       -0.67458504 -0.65411231 -0.69781905]
  [-0.55114969 -0.64821253 -0.61706457 -0.58767155]
  [-0.44663344 -0.55419562 -0.48313245 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.298875  ]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.57481716 -0.62226027 -0.5774062 ]
  [-0.57266216 -0.42541875 -0.6344311  -0.44617655]
  [-0.44706748 -0.40725    -0.32008969 -0.298875  ]
  [-0.298875    0.71109375 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375    9.646875  ]]

 [[-0.75       -0.56659313 -0.46768901 -1.408875  ]
  [-0.45224558 -0.34927031 -0.46984402 -0.75      ]
  [-0.2775      1.0569375  -0.15       -0.75      ]
  [-0.15        9.646875    0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
7,"[np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(2), 3, np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]",5,17,"[[[-2.13048235 -1.08824314 -1.408875   -1.11891548]
  [-0.93877831 -0.79601902 -1.46647288 -0.87485299]
  [-0.63798062 -0.57222811 -1.45114526 -0.71750235]
  [-0.44663344 -0.44663344 -0.75       -0.5850825 ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-1.494375   -0.93271375 -0.85059497 -0.82663764]
  [-0.76518809 -0.78589252 -0.80515898 -0.71491331]
  [-0.6086113  -0.67909941 -0.64440578 -0.59026059]
  [-0.42846469 -0.53875219 -0.46725497 -0.55419562]
  [-0.44663344 -0.75       -0.44663344 -0.4435875 ]]

 [[-0.75       -0.67458504 -0.65411231 -0.69781905]
  [-0.55114969 -0.64821253 -0.61706457 -0.58767155]
  [-0.44663344 -0.55419562 -0.48313245 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.30271289]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.57481716 -0.62226027 -0.5774062 ]
  [-0.57266216 -0.42541875 -0.6344311  -0.44617655]
  [-0.44706748 -0.40725    -0.32008969 -0.298875  ]
  [-0.298875    1.82910937 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375   11.94984375]]

 [[-0.75       -0.56659313 -0.46768901 -1.408875  ]
  [-0.45224558 -0.34927031 -0.46984402 -0.75      ]
  [-0.2775      1.0569375  -0.15       -0.75      ]
  [-0.15        9.646875    0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
8,"[1, np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(0), 2, np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(1)]",10,16,"[[[-2.13048235 -1.18843938 -1.408875   -1.11891548]
  [-0.93877831 -0.90815867 -1.46647288 -0.99550019]
  [-0.81695008 -0.70003916 -1.45114526 -0.71750235]
  [-0.62055066 -0.44663344 -0.75       -0.5850825 ]
  [-0.44663344 -0.75       -0.75       -0.42541875]]

 [[-1.494375   -0.93271375 -0.85059497 -0.94877036]
  [-0.76518809 -0.78589252 -0.80515898 -0.83621514]
  [-0.6086113  -0.67909941 -0.64440578 -0.59026059]
  [-0.42846469 -0.53875219 -0.46725497 -0.55419562]
  [-0.44663344 -0.75       -0.44663344 -0.4435875 ]]

 [[-0.75       -0.80714048 -0.82379133 -0.69781905]
  [-0.71168824 -0.64821253 -0.61706457 -0.71014299]
  [-0.44663344 -0.55419562 -0.48313245 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.30271289]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.57481716 -0.62226027 -0.5774062 ]
  [-0.57266216 -0.55419562 -0.6344311  -0.44617655]
  [-0.44706748 -0.40725    -0.32008969 -0.25343016]
  [-0.298875    1.82910937 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375   11.94984375]]

 [[-0.75       -0.56659313 -0.46768901 -1.408875  ]
  [-0.45224558 -0.34927031 -0.46984402 -0.75      ]
  [-0.2775      2.12307656 -0.15       -0.75      ]
  [-0.15       11.94984375  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
9,"[np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), 2, np.int64(0), np.int64(3), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(3), 0, np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",-7,29,"[[[-2.13048235 -1.28958608 -1.408875   -1.32414453]
  [-1.1221376  -1.02169045 -1.46647288 -0.99550019]
  [-0.81695008 -0.80867855 -1.45114526 -0.71750235]
  [-0.62055066 -0.59026059 -0.75       -0.70837634]
  [-0.61301268 -0.75       -0.75       -0.57481716]]

 [[-1.494375   -1.05479637 -1.04235833 -1.05589402]
  [-0.93332159 -0.90473575 -0.96816104 -0.83621514]
  [-0.78205476 -0.67909941 -0.64440578 -0.71536677]
  [-0.59830712 -0.53875219 -0.46725497 -0.55419562]
  [-0.44663344 -0.75       -0.59328369 -0.4435875 ]]

 [[-1.48693921 -0.80714048 -0.82379133 -0.82505764]
  [-0.71168824 -0.64821253 -0.78354419 -0.71014299]
  [-0.61757012 -0.55419562 -0.48313245 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.30271289]
  [-0.298875   -0.75       -0.33825844  0.1485    ]]

 [[-0.75       -0.70217474 -0.62226027 -0.5774062 ]
  [-0.57266216 -0.55419562 -0.6344311  -0.57902108]
  [-0.44706748 -0.40725    -0.32008969 -0.25343016]
  [-0.298875    1.82910937 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375   11.94984375]]

 [[-0.75       -0.56659313 -0.46768901 -1.408875  ]
  [-0.45224558 -0.14434136 -0.46984402 -0.75      ]
  [-0.2775      3.35746781 -0.15       -0.75      ]
  [-0.15       13.90736719  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
10,"[np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",12,14,"[[[-2.13048235 -1.38800695 -1.408875   -1.32414453]
  [-1.1221376  -1.02169045 -1.46647288 -1.11533582]
  [-0.81695008 -0.80867855 -1.45114526 -0.85664866]
  [-0.62055066 -0.73363295 -0.75       -0.70837634]
  [-0.61301268 -0.75       -0.75       -0.7018058 ]]

 [[-1.494375   -1.05479637 -1.04235833 -1.05589402]
  [-0.93332159 -0.90473575 -0.96816104 -0.95315315]
  [-0.78205476 -0.79381833 -0.799989   -0.71536677]
  [-0.59830712 -0.53875219 -0.63127886 -0.55419562]
  [-0.44663344 -0.75       -0.59328369 -0.50588813]]

 [[-1.48693921 -0.80714048 -0.82379133 -0.82505764]
  [-0.71168824 -0.76982703 -0.78354419 -0.71014299]
  [-0.61757012 -0.55419562 -0.65249041 -0.56659313]
  [-0.46725497 -0.41029594 -0.31704375 -0.30271289]
  [-0.298875   -0.75       -0.33825844  1.67907773]]

 [[-0.75       -0.70217474 -0.62226027 -0.5774062 ]
  [-0.57266216 -0.55419562 -0.6344311  -0.57902108]
  [-0.44706748 -0.40725    -0.32008969 -0.25343016]
  [-0.298875    1.82910937 -0.15       -0.15      ]
  [-0.15       -1.3875     -0.171375   13.90736719]]

 [[-0.75       -0.56659313 -0.46768901 -1.408875  ]
  [-0.45224558 -0.14434136 -0.46984402 -0.75      ]
  [-0.2775      3.35746781 -0.15       -0.75      ]
  [-0.15       13.90736719  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
